Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec),Correct Answer(s)
1,Dans FreeRTOS quel est le rôle principal du kernel par rapport aux tâches,Créer détruire et ordonnancer les tâches selon leur priorité,Compiler le code plus vite,Éviter complètement les interruptions matérielles,Gérer automatiquement le réseau et le stockage,30,1
2,Quel est le mode d ordonnancement utilisé par FreeRTOS dans la configuration vue en cours,Round robin sans priorité,Prioritized Preemptive Scheduling with Time Slicing,First Come First Served non préemptif,Shortest Job First,30,2
3,Quel état n appartient pas aux états possibles d une tâche FreeRTOS,READY,RUNNING,WAITING_FOR_IO,BLOCKED,30,3
4,À quoi sert la tâche IDLE dans FreeRTOS,À exécuter le code applicatif principal,À nettoyer certaines ressources et gérer la mise en veille quand aucune tâche n est prête,À gérer la pile réseau,À remplacer le tick interrupt,30,2
5,Quelle API FreeRTOS permet de créer une nouvelle tâche,xTaskCreate,vTaskDelay,vTaskSuspend,xQueueCreate,30,1
6,Quelle API FreeRTOS permet de faire bloquer volontairement une tâche pendant un certain nombre de ticks,vTaskDelete,vTaskSuspend,vTaskDelay,xSemaphoreTake,30,3
7,Quel est l effet d un appel vTaskDelay pdMS_TO_TICKS 3000 dans une tâche,La tâche s arrête définitivement,La tâche passe en état BLOCKED pendant environ 3 secondes,La tâche passe en état SUSPENDED jusqu au prochain reset,La priorité de la tâche est augmentée,30,2
8,Dans un système FreeRTOS qu est ce qu une tâche continue,Une tâche qui s exécute seulement une fois,Une tâche qui boucle sans délai et ne rend la main que si une tâche plus prioritaire devient prête,Une tâche qui se réveille périodiquement grâce à vTaskDelay,Une tâche réservée aux interruptions,30,2
9,Quel risque introduit une tâche continue de très haute priorité mal conçue,Augmenter automatiquement la fréquence du tick,Supprimer la tâche IDLE,Provoquer la famine des autres tâches moins prioritaires,Désactiver les interruptions matérielles,30,3
10,Dans FreeRTOS que représente une queue ou file d attente,Un mécanisme de communication inter tâches en FIFO avec copie des messages,Une zone mémoire partagée sans protection,Une liste de tâches suspendues,Un périphérique matériel de stockage,30,1
11,Dans le modèle producteur consommateur basé sur une queue FreeRTOS quel est le rôle du producteur,Lire les données dans la queue,Créer les données et les envoyer dans la queue,Supprimer la queue,Changer la priorité du consommateur,30,2
12,Quelle fonction FreeRTOS est utilisée pour envoyer un élément dans une queue depuis une tâche,xQueueReceive,xQueueSend,xQueueReset,xQueueSendFromISR,30,2
13,Quelle fonction FreeRTOS est utilisée pour recevoir un élément depuis une queue dans une tâche,xQueueSend,xQueueReceive,xQueueDelete,vTaskDelay,30,2
14,Pourquoi est il parfois préférable d envoyer un pointeur dans une queue plutôt que la structure complète,Pour contourner le typage du langage C,Pour réduire la taille des éléments stockés et limiter l usage de RAM,Pour rendre la queue non bloquante,Pour empêcher plusieurs tâches de lire le même message,30,2
15,Quelle version de l API queue doit être utilisée dans une ISR pour envoyer un message,xQueueSend,xQueueSendFromISR,xQueueReceive,xQueueDelete,30,2
16,Quel est le comportement d une tâche qui appelle xQueueReceive xQueue val portMAX_DELAY sur une queue vide,Elle retourne immédiatement avec une erreur,Elle passe en état BLOCKED en attendant un message,Elle supprime automatiquement la queue,Elle redémarre le scheduler,30,2
17,À quoi sert un sémaphore binaire dans FreeRTOS dans le schéma de deferred interrupt handling,À transmettre de gros paquets de données entre tâches,À signaler un événement depuis l ISR et réveiller une tâche qui fera le traitement,À changer dynamiquement la priorité de l ISR,À configurer la fréquence du tick interrupt,30,2
18,Quelle API FreeRTOS est utilisée pour créer un sémaphore binaire,xSemaphoreCreateBinary,xSemaphoreTake,xSemaphoreGive,vTaskSuspend,30,1
19,Quelle API une tâche utilise t elle pour attendre c est à dire prendre un sémaphore binaire avec un temps d attente potentiellement infini,xSemaphoreGive xSem 0,xSemaphoreTake xSem portMAX_DELAY,vTaskDelay pdMS_TO_TICKS 0,xSemaphoreCreateBinary,30,2
20,Le principe de responsabilité unique appliqué aux tâches FreeRTOS implique que,Chaque tâche doit gérer toutes les fonctionnalités de l application,Chaque tâche doit avoir une seule raison de changer avec une responsabilité clairement définie,Toutes les tâches doivent avoir la même priorité,Les tâches ne doivent jamais communiquer entre elles,30,2
